,mileage,s_max,s_min
482,31.27365439,0.978044513,-1
483,32.9321952,1,-1
484,31.65492645,1,-1
485,29.104084,1,-1.001144718
486,25.79836276,1,-1.012715683
487,30.01048535,1,-1
488,24.99895118,1.000937142,-1
489,26.1900202,1,-1
490,27.06881277,1.014131833,-1
491,32.30692211,1,-0.977435535
492,30.48306267,1,-1
493,27.79035418,1,-1.005970737
494,26.2143,1,-1
495,35.49508851,1,-1
496,30.8927294,1,-1.048391639
497,41.45744901,1.039018599,-1.006363278
498,34.08778068,1,-1
499,34.16509919,1,-1
500,27.28244232,1,-1
501,31.04154769,1.011397578,-1
502,33.14519491,1,-1
503,26.59326237,1,-1
504,20.99463642,1.000042244,-1
505,30.46864794,1,-1
506,31.11016268,1,-1
507,29.7335417,1,-1
508,29.93885917,1,-1
509,25.84724333,1,-1
510,27.9927163,1,-1
511,22.7954681,1,-1.009651941
512,18.70161415,1,-1
513,17.53163527,1,-1.023916365
514,16.05954145,1,-1
515,20.01278152,1,-1.008904551
516,20.39884587,1.000484633,-1.00120654
517,31.05859193,1.000146757,-1
518,28.79428083,1,-1
519,29.64085289,1,-1.017676084
520,32.71751869,1.004417445,-1.098373966
521,26.62877831,1,-1
522,25.98574644,1.003765704,-1.00380252
523,39.01471486,1,-1
524,38.88974182,1,-1
525,38.66002445,1,-1
526,35.46628278,1,-1
527,27.65320298,1,-1
528,31.61055938,1,-1
529,34.71761635,1,-1
530,26.63643905,1,-1
531,36.27507049,1,-1
532,31.93562576,1,-1
533,31.74132636,1,-1
534,32.92379716,1,-1.004202003
535,30.13073856,1,-1.003182653
536,34.50013407,1,-1
537,29.51727053,1,-1.000130723
538,31.31143298,1.004666076,-1
539,21.4460487,1,-1
540,32.73924299,1.00508633,-1
541,43.06698689,1,-1
542,37.73202801,1,-1
543,31.57240954,1,-1.002534649
544,35.04853513,1,-0.999909442
545,22.77987143,1,-1.010198707
546,34.75982096,1,-1
547,33.2982216,1,-1
548,28.39084756,1,-1
549,37.44572636,1,-1
550,31.4391709,1,-1
551,28.13706298,1,-1
552,22.62808079,1.000428361,-1
553,31.48931591,1,-1
554,33.73716546,1,-1
555,35.21584007,1,-1
556,41.05280279,1,-1
557,39.64479988,1,-1
558,30.90585146,1,-1
559,36.55197494,1,-0.998313559
560,36.69574595,1,-1
